mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.6290687084198,0.6533062307418909,0.2749056339263916,0.09800130773270582,tanh,0.001,"(128,)",0.1,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.1}",,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,,,19
1.7427793979644775,0.024184708862185326,0.18345332145690918,0.008766653928738119,tanh,0.001,"(256,)",0.001,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.05714285714285714,0.06998542122237653,8
2.235854387283325,1.0039751337681575,0.24382295608520507,0.0896237029568292,tanh,0.001,"(256,)",0.01,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",0.0,0.14285714285714285,0.0,0.0,,,,19
2.04623703956604,0.6722350066956853,0.20291290283203126,0.03182691982482202,tanh,0.001,"(256,)",0.1,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.1}",0.0,0.07142857142857142,0.21428571428571427,,,,,19
2.9454774379730226,0.7076948472890066,0.2919490337371826,0.1099156745726008,tanh,0.001,"(64, 64)",0.001,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",,0.14285714285714285,0.0,0.0,,,,19
2.9743987560272216,0.8662524073416109,0.2438282012939453,0.015915595981044278,tanh,0.001,"(64, 64)",0.01,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",0.06666666666666667,0.07142857142857142,0.07142857142857142,0.0,,,,19
3.4869547367095945,0.5913682498382461,0.33073763847351073,0.1160388089624391,tanh,0.001,"(64, 64)",0.1,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.1}",0.0,0.14285714285714285,0.07142857142857142,,,,,19
2.6638396739959718,0.21285084222706566,0.2340794563293457,0.015648624152582984,tanh,0.001,"(128, 128)",0.001,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.001}",0.0,0.14285714285714285,0.0,,,,,19
3.503451681137085,0.5558274890176752,0.32366433143615725,0.11167959227835596,tanh,0.001,"(128, 128)",0.01,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.01}",0.06666666666666667,0.07142857142857142,,,,,,19
2.8429831504821776,0.618412036105206,0.33103289604187014,0.1300129436683053,tanh,0.001,"(128, 128)",0.1,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.1}",0.0,0.07142857142857142,0.14285714285714285,,,,,19
3.240530014038086,0.7937972375900328,0.2304586410522461,0.0074553981595784705,tanh,0.001,"(256, 256)",0.001,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.001}",,0.07142857142857142,0.0,0.07142857142857142,,,,19
3.3292595386505126,0.9461586367971296,0.4783360481262207,0.4251666970893298,tanh,0.001,"(256, 256)",0.01,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.01}",,0.07142857142857142,0.07142857142857142,0.0,,,,19
2.795294094085693,0.37399358134563726,0.23459339141845703,0.01348341713110735,tanh,0.001,"(256, 256)",0.1,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.1}",0.0,0.07142857142857142,0.0,0.0,0.0,0.014285714285714285,0.02857142857142857,17
2.48889741897583,0.45190382087856384,0.27470173835754397,0.08845569203310505,tanh,0.01,"(64,)",0.001,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",,,0.07142857142857142,,,,,19
1.6349320888519288,0.024522156369929982,0.19712910652160645,0.013873169528508816,tanh,0.01,"(64,)",0.01,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",,,0.0,0.14285714285714285,0.0,,,19
